ID_Sankce,ID_kontroly,Vyse_pokuty,Zákon,Paragraf,Datum_nabyti_Pravni_Moci
62342,211212160103501,1000,Zák. 634/1992,§ 12 odst.1,12/16/2012
62343,211212120151201,500,Zák. 64/1986,"§ 9, 1, a",12/12/2012
62345,301212120704101,1000,Zák. 634/1992,§ 10 odst. 1 písm. a,12/12/2012
62346,211212130151201,500,Zák. 64/1986,"§ 9, 1, a",12/13/2012
62347,301212130704101,1000,Zák. 634/1992,§ 10 odst. 1 písm. a,12/13/2012
62348,211212160104001,1000,Zák. 634/1992,§ 12 odst.1,12/16/2012
62349,211212160104002,1000,Zák. 634/1992,§ 12 odst.1,12/16/2012
62350,271212140005102,2000,Zák. 634/1992,"§4,5,13",12/14/2012
62351,211212140015101,1000,Zák. 634/1992,§ 12 odst.1,12/14/2012
62352,301212140704101,1000,Zák. 634/1992,§ 10 odst. 1 písm. a,12/14/2012
62353,101211290009401,1000,Zák. 634/1992,§16 odst.1,12/17/2012
62354,301212110703402,1000,Zák. 64/1986,§ 9 odst. 1 a),12/11/2012
62355,101212129052705,1000,Zák. 634/1992,§ 12/1;,12/12/2012
62356,301212140703401,2000,Zák. 634/1992,§ 19 odst.3,12/14/2012
62357,211212120030402,500,Zák. 64/1986,§ 9 odst. 1 písm. a),12/12/2012
62358,211212070306402,1000,Zák. 22/1997,§ 13 odst. 9,12/17/2012
62359,301212110017501,1000,Zák. 64/1986,§9,12/11/2012
62360,301212110711002,1000,Zák. 64/1986,§9-1a,12/11/2012
62361,301211270711001,2000,Zák. 634/1992,§11-1,12/12/2012
62362,211212050006701,1000,Zák. 634/1992,§16,12/17/2012
62363,301212130711001,2000,Zák. 634/1992,§12-1,12/13/2012
62364,301212130012801,1000,Zák. 64/1986,§9 odst. písm a),12/13/2012
62365,221212130020201,500,Zák. 64/1986,"§ 9 ods.1 pís.a,",12/13/2012
62366,221212119015401,500,Zák. 64/1986,"§ 9 ods.1 pís.a,",12/11/2012
62367,221212130203703,1000,Zák. 634/1992,"§ 9 ods.1,10 ods.1 a,",12/13/2012
62368,271212120019602,1000,Zák. 634/1992,§10/1a OS,12/12/2012
62369,301212130031101,1000,Zák. 634/1992,§ 9 odst. 1,12/13/2012
62370,311210230605101,3000,Zák. 634/1992,"§15/3,§19/1",12/12/2012
62371,311210250602601,3000,Zák. 634/1992,§5/1c),12/12/2012
