ID_zakazu,ID_kontroly,Sortiment,Mnozstvi,Jednotka,Cena_celkem,Dle_zakona
69877,211201040104101,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69878,251201040025501,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69882,211201060104902,Svíčky,21,kus,1029,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69883,211201060104902,Ostatní (zahrnuje zboží i služby) – blíže nespecifikované a nerozlišov,4,kus,276,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69884,211201060104902,Ostatní (zahrnuje zboží i služby) – blíže nespecifikované a nerozlišov,15,kus,375,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69885,211201030154201,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69886,211201060154001,Výrobky kožené a textilní galanterie,6,kus,1374,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69887,211201060154001,Výrobky kožené a textilní galanterie,5,kus,1495,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69888,211201060154001,Výrobky kožené a textilní galanterie,6,kus,2394,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69889,211201050010301,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69890,301201050703401,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69891,211201060010301,Hračky magnetické,12,kus,180,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69892,211201060010301,Hračky magnetické,12,kus,300,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69893,301201040701801,Zapalovače,12,kus,84,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69894,301201040701801,"Cigarety, cigaretový tabák, cigaretové papírky",10,kus,160,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69895,301201040701801,Zapalovače,14,kus,112,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69896,211201050151201,"Ostatní výrobky (WC-papír, kapesníky, ručníky, houby a další nespecifik)",16,kus,464,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69897,211201050151201,"Ostatní výrobky (WC-papír, kapesníky, ručníky, houby a další nespecifik)",5,kus,245,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69898,211201050151201,"Ostatní výrobky (WC-papír, kapesníky, ručníky, houby a další nespecifik)",3,kus,75,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69899,211201050151201,"Ostatní výrobky (WC-papír, kapesníky, ručníky, houby a další nespecifik)",35,kus,525,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69900,211201050151201,Malé domácí elektrické spotřebiče - nespecifikováno,7,kus,203,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69901,211201050151201,Malé domácí elektrické spotřebiče - nespecifikováno,4,kus,140,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69902,301201060700401,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69903,301201030702101,Oděvy speciálně pro děti a kojence,5,kus,825,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69904,301201030702101,Oděvy speciálně pro děti a kojence,8,kus,1592,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69905,301201030702101,Oděvy speciálně pro děti a kojence,7,kus,1330,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69906,301201030702101,Oděvy speciálně pro děti a kojence,13,kus,2067,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69907,301201030702101,Oděvy speciálně pro děti a kojence,9,kus,891,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69908,301201030702101,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",6,kus,300,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69909,301201030702102,Délková měřidla,1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69910,301201050702801,Drobná textilní galanterie,15,kus,1500,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69911,301201050702801,Drobná textilní galanterie,11,kus,1100,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69912,301201050702801,Drobná textilní galanterie,12,kus,5988,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69913,301201050702801,Drobná textilní galanterie,17,kus,4250,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69914,271201060506702,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69915,301201050702101,Oděvy speciálně pro děti a kojence,12,kus,2280,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
